Name,Lowest Pressure (mbar),Year
BOB 02,920,1990
BOB 05,982,1998
03B,992,2003
Yemyin,986,2007
Khai-Muk,996,2008
Laila,986,2010
Nilam,982,2012
Helen,990,2013
Lehar,980,2013
Hudhud,940,2014
Kyant,997,2016
Fani[1],997,2019
ARB 02,994,1994
Phyan,988,2009
1970 Bhola Cyclone,966,1970
BOB 03,964,1981
BOB 03,972,1988
BOB 07,994,1997
BOB 06,984,1998
BOB 04,998,2000
BOB 03,970,2002
Sidr,944,2007
Rashmi,996,2008
Aila,970,2009
Komen,986,2015
Roanu,983,2016
Mora,978,2017
Fani,980,2019
BOB 09,998,1991
BOB 06,994,1992
BOB 03,968,1993
08B,967,1996
BOB 05,958,2000
Fanoos,998,2005
Nisha,996,2008
Jal,988,2010
Thane,972,2011
Nilam,992,2012
Madi,986,2013
Roanu,983,2016
Kyant,997,2016
Nada,1000,2016
Vardah,982,2016
Ockhi,975,2017
Gaja,995,2018